,apparent_mag,name,bayer_designation,distance,spectral_class,mass,radius
244,"14.38
",VFTS 352,"Dor
","164,000
","O5
",57.48,14.47
245,"14.68
",YBP 1194,"Cnc
","2,772
","G5
",1.01,0.99
246,"14.71
",Gliese 1214,"Oph
","47.5
","M4.5
",0.16,0.21
247,"16.6
",NML Cygni,"Cyg
","5,251
","M6
",50.0,"1,640 - 2,770
"
248,"17.30
",VB 10,"Aql
","18.72
","M8
",0.075,0.1
249,"18.46
",WOH G64,"Dor
","163,000
","M5
","<20
","1,540 - 1,730
"
250,"18.80
",TRAPPIST-1,"Aqr
","39.6
","M8
",0.089,0.12
251,"21.05
",2MASS J0523-1403,"Lep
","40.3
","L2.5
",0.07,0.086
252,"25
",WISE 0855−0714,"Hya
","7.27
","Y2
",0.003,"?
"
253,"28.4
",Icarus,"Leo
","14,400,000,000
","B?
",33.0,"?
"
